pretty_formula,composition,lower_bound,upper_bound,total_range
Li2HgS6,Li2Hg1S6,2.1291348939880956,2.129134908571438,1.4583342533569521e-08
Li17Sn5S6,Li17Sn5S6,0.4954024789166671,0.6625682050000012,0.16716572608333413
Li2CaS6,Li2Ca1S6,2.1291348939880965,2.1291349085714346,1.4583338092677423e-08
LiS5Cl2,Li1S5Cl2,2.8864464462222266,2.88644649066664,4.44444134828359e-08
Li17Si5S6,Li17Si5S6,0.35690826207143456,0.3569082655714233,3.4999887432718424e-09
Li6CdS4,Li6Cd1S4,1.3634412516666639,2.129134897142859,0.7656936454761953
Li2S15Cl19,Li2S15Cl19,3.526045879479172,3.526045889479165,9.999992833797933e-09
Li17S6Cl5,Li17S6Cl5,-0.0,2.129134896190477,2.129134896190477
Li3As8S5,Li3As8S5,1.8975900927083331,1.8975901010416663,8.333333134658005e-09
Li2Zn6S,Li2Zn6S1,0.6849905116666664,1.192348916309525,0.5073584046428588
Li2TeS6,Li2Te1S6,2.503163645454542,2.5031637187878975,7.33333553881721e-08
LiSF2,Li1S1F2,3.709255178697915,3.7092551986979183,2.000000343116426e-08
Li11S5,Li11S5,-0.0,9.999992167664118e-09,9.999992167664118e-09
Li2Se2S,Li2Se2S1,2.1266874070052095,2.126687417838542,1.0833332453330513e-08
Li2GaS2,Li2Ga1S2,1.3043649516666673,1.3043649666666712,1.5000003905640824e-08
Li3B8S5,Li3B8S5,1.6066680776388904,1.6066680919246035,1.428571305694959e-08
Li2In6S,Li2In6S1,0.5265272616666645,1.4276477133333394,0.9011204516666749
Li2Sn15S19,Li2Sn15S19,1.9593249811666649,1.959324989166674,8.000009099617955e-09
Li6GaS4,Li6Ga1S4,1.3043649516666709,1.3043649666666632,1.4999992359321368e-08
Li17Pb6S5,Li17Pb6S5,0.3951090855555601,0.39510909666662863,1.1111068509706001e-08
Ba15Li2S19,Ba15Li2S19,1.9558316700000078,1.9558316766666461,6.6666383524705e-09
Li17S5Cl6,Li17S5Cl6,-0.0,9.99999993922529e-09,9.99999993922529e-09
