id,composition,roost_ensemble_mean,e_hull_from_roost
312,Li2Hg19S15,-0.4196983635425567,0.0004181836854526
314,Li3Pb8S5,-0.676478898525238,0.0896806305763245
315,Li2P19S15,-0.4789150714874267,-0.0135298127663595
316,Li1S3,-0.7485731601715088,-0.0265590368753766
317,Li2Te19S15,-0.3134850084781647,-0.1389833218577941
319,Li1Ge2S1,-0.5735153675079345,0.1492342561899822
321,Li1Al1S2,-1.5474649786949155,-0.0160133992157485
322,Li2As6S1,-0.3530910313129425,0.1481582638490941
324,Li17Al6S5,-0.7027649998664856,0.1870005225963125
325,Li3S5,-0.9738011002540587,-0.0172668483009328
327,Li6In4S1,-0.4749964892864227,0.1203760062042793
328,Li3Zn8S5,-0.7265193939208985,0.1615916000244148
329,Li2Si1S2,-1.2289182305336,-0.0230933241169331
330,Li1S2Cl5,-0.918658584356308,0.1652876349926497
333,Li10S1,-0.3773971974849701,0.0327158621930603
334,Li2S6Cl1,-0.8932393074035645,-0.0552198843387483
335,Li3Cd8S5,-0.6702390551567078,0.1430190376948549
336,Li6Se1S4,-1.275743842124939,0.0122967463457053
337,Li1Ga5S2,-0.5359640121459961,0.102710043218587
338,Li2Se19S15,-0.2334054946899414,0.0819145505204587
339,Li7S4,-1.495272731781006,-0.0483782108178014
340,Li8S1,-0.4309752881526947,0.0702740070093423
341,Li1Al2S5,-1.1256741166114808,0.0865537970083114
342,Li2B1S6,-0.8559130072593689,-0.0226573018162469
343,Li2In1S2,-1.2188700437545776,0.0145683361620889
344,Li1S7,-0.3875153958797455,0.0051133990160883
345,Li2Pb1S2,-1.2052868843078612,0.0107725316088065
346,Li2Hg15S19,-0.4107773959636688,0.0514777512941019
348,Li2P15S19,-0.563860684633255,-0.0211823408744704
349,Li6C1S4,-1.0788560867309571,0.191106827652161
351,Li2Ge19S15,-0.5324022889137268,-0.0074920508523843
352,Ba1Li2S6,-1.0553324043750762,0.1398827281579928
353,Li1C1S2,-0.5635234773159027,0.1638298880561214
356,Li2Se1S2,-1.011940598487854,0.0172512335642296
357,Li17P6S5,-0.8918726980686188,0.1690142523469847
358,Li4S1,-0.9081341922283171,-0.0058854609366502
359,Na8Li3S5,-1.2512247800827023,-0.0122491844186403
360,Li17Mg6S5,-0.6475917220115661,0.1843443038440886
361,Li3Sn8S5,-0.6693022847175598,0.0589189036027537
363,Li2Pb1S6,-0.7016929149627685,0.0914089689988723
364,Ba5Li3S8,-1.8982586145401,0.0371464523349005
366,Li17As5S6,-1.052748256921768,0.0877285248937083
367,Li1S2F5,-2.1406798124313355,-0.0378621604261271
370,Li3Se5S8,-0.5042876303195953,0.1310711529842088
371,Li1As2S5,-0.588916438817978,0.0206409960778548
372,Li2As2S1,-0.7103552758693695,0.1918934554222987
373,Li6Cd4S1,-0.416173529624939,0.1824753270227883
374,Li1Ca1S2,-1.6476991295814514,0.1493205352548579
375,Li3Ca5S8,-1.823617577552796,0.1248934083400612
376,Li6C4S1,-0.2280695676803588,0.1845238443209038
377,Li17Ga5S6,-0.8985292255878449,0.1807445207365611
379,Li2S1F6,-2.6124279737472533,-0.0397109059463276
380,Li3B5S8,-0.9678940773010254,-0.0087792254074168
381,Li3S8I5,-0.4961760461330414,0.0742419223044589
382,Li11S3,-1.0030125617980956,-0.0363174925570244
384,Li17In5S6,-0.8841006398200989,0.1735700452218379
385,Li1Pb5S2,-0.414807516336441,0.1613427290281429
386,Li2Ga1S6,-0.800669264793396,0.1160443798825301
389,Li3Hg5S8,-0.6058975219726562,0.0776441217327011
390,Ba2Li2S1,-0.7613000452518464,0.1710795773731532
391,Sr1Li2S2,-1.8602447867393488,3.083651065227677e-05
392,Sr1Li2S6,-1.0380024313926697,0.1386834341033624
393,Li2Sn19S15,-0.6482037484645844,0.0198500784856461
394,Li3Al8S5,-0.8326226830482483,0.1547083144908146
395,Li17S6I5,-1.371601116657257,0.1030630198457192
396,Li6Si4S1,-0.4192181527614593,0.1206797300334546
397,Li17Al5S6,-0.8565968096256256,0.1735350822344925
398,Li6Si1S4,-1.3973464727401734,-0.0290181231947181
