pretty_formula,composition,lower_bound,upper_bound,total_range,roost_ensemble_mean,e_hull_from_roost,roost_band_gap
Li6SCl4,Li6S1Cl4,-0.0,2.12913490095238,2.12913490095238,-1.856922447681427,0.1073187916935731,4.080428123474121
Li17S6F5,Li17S6F5,-0.0,2.129134896190477,2.129134896190477,-1.938293981552124,0.1590997295044236,4.810935974121094
Li3In5S8,Li3In5S8,1.7679802916666674,2.051698522916664,0.2837182312499968,-1.0956785917282104,-0.0212913123532101,3.0856661796569824
Li2P6S,Li2P6S1,1.2717621574999955,1.7076498834523886,0.435887725952393,-0.4451898515224456,0.0560594436395919,0.9363210201263428
LiInS2,Li1In1S2,1.4276477033333337,2.582973254523813,1.15532555119048,-1.1689158082008362,0.0159702400283312,3.4877500534057617
LiBS2,Li1B1S2,1.6066680726388918,2.023678212291662,0.4170101396527701,-1.0486808657646178,0.012006139860381,4.340584754943848
Li2AsS2,Li2As1S2,1.8426497700000009,1.8975901177083376,0.054940347708337,-1.0559314012527463,0.0115061513305882,1.884326219558716
Li3Ga5S8,Li3Ga5S8,1.496425421666676,2.0949851191666617,0.5985596974999856,-1.233464813232422,-0.0496432919824223,4.083927154541016
Li6HgS4,Li6Hg1S4,1.8765878216666676,2.1291348971428574,0.25254707547619,-1.2633333683013916,0.0359210837440635,1.974732756614685
Li3As5S8,Li3As5S8,1.9036912956250007,2.059303054791661,0.1556117591666597,-0.7315765142440795,0.0091515330215454,1.784721851348877
Li6SI4,Li6S1I4,-0.0,2.1291349009523817,2.1291349009523817,-1.3135873317718505,0.1309354648758762,2.6736483573913574
Li2AsS6,Li2As1S6,2.1622725609523714,2.225513799166679,0.0632412382143075,-0.7802382647991181,-0.0493963290120792,2.231664657592773
Li6SF4,Li6S1F4,-0.0,2.1291349009523826,2.1291349009523826,-2.581814503669739,0.1308121538870796,5.356930255889893
Li2Ga6S,Li2Ga6S1,0.8484749783333272,1.3043649633333407,0.4558899850000135,-0.3847310662269592,0.1165182289350788,1.909109234809876
Li2GeS2,Li2Ge1S2,1.620245156666666,1.882169926666676,0.26192477000001,-1.1590784907341003,-0.0026790928174313,2.6310360431671143
Li2SnS2,Li2Sn1S2,1.557811319166667,1.7203677841666716,0.1625564650000046,-1.1419814348220825,0.0393914980945855,1.4969539642333984
Li2SN6,Li2S1N6,1.60863804666666,2.113038006845241,0.5043999601785814,-0.3187471926212311,0.1825021025408064,3.721372365951538
Li2BS2,Li2B1S2,1.58653559888889,1.6066680926388917,0.0201324937500015,-1.1246673703193664,0.0452158507084123,3.622262477874756
Li2InS6,Li2In1S6,2.1291348938095256,2.58297325452381,0.4538383607142844,-0.7006244421005249,0.1749949525754012,3.031177520751953
LiAs2S,Li1As2S1,1.842649765,1.897590107708334,0.0549403427083339,-0.5887457311153412,0.0784027392492425,0.8874709606170654
Li2MgS2,Li2Mg1S2,0.5900270210479399,2.129134900952381,1.5391078799044409,-1.616770613193512,-0.0428897686101785,4.30405330657959
Li2ZnS2,Li2Zn1S2,1.1923489063095234,2.1291349009523834,0.93678599464286,-1.3252634406089785,0.0022944574505465,2.8596105575561523
Li2CdS2,Li2Cd1S2,1.3634412516666656,2.1291349009523843,0.7656936492857187,-1.2408851504325866,0.0182358094840811,2.692457914352417
LiIn5S2,Li1In5S2,1.4276477033333357,1.767980311666669,0.3403326083333335,-0.4613275587558746,0.1311154653587084,0.5875524282455444
Li6MgS4,Li6Mg1S4,0.5900270210479346,2.129134897142859,1.5391078760949246,-1.5749209523200989,-0.0392944490625222,3.764530897140503
Li2CaS2,Li2Ca1S2,-0.0,2.1291349009523817,2.1291349009523817,-1.8459033608436584,0.0175393500730085,3.810722827911377
LiGe2S,Li1Ge2S1,1.6202451516666685,1.882169921666668,0.2619247699999993,-0.5735153675079345,0.1492342561899822,0.8513588905334473
LiAlS2,Li1Al1S2,0.9655603283333344,2.671237544761908,1.7056772164285738,-1.5474649786949155,-0.0160133992157485,4.118439674377441
Li2As6S,Li2As6S1,0.9731775887500014,1.8426497849999968,0.8694721962499954,-0.3530910313129425,0.1481582638490941,0.8314826488494873
LiGa5S2,Li1Ga5S2,1.304364953333335,1.4964254416666654,0.1920604883333303,-0.5359640121459961,0.102710043218587,2.41931700706482
Li2PbS2,Li2Pb1S2,1.471095111666667,2.1062726941666687,0.6351775825000017,-1.2052868843078612,0.0107725316088065,0.8587532043457031
Li2As2S,Li2As2S1,0.9731775854166642,1.842649785000007,0.8694721995833428,-0.7103552758693695,0.1918934554222987,1.0848748683929443
Li2SF6,Li2S1F6,3.709255186197916,3.956873561041668,0.2476183748437526,-2.6124279737472533,-0.0397109059463276,5.495581150054932
Li2GaS6,Li2Ga1S6,2.1291348938095256,2.6357922752380984,0.5066573814285729,-0.800669264793396,0.1160443798825301,3.14147686958313
Sr(LiS)2,Sr1Li2S2,-0.0,2.0599100979166707,2.0599100979166707,-1.8602447867393488,3.083651065227677e-05,3.844879627227783
Li17S6I5,Li17S6I5,-0.0,2.129134896190476,2.129134896190476,-1.371601116657257,0.1030630198457192,2.6092782020568848
Li2AlS6,Li2Al1S6,2.1291348938095247,2.671237544761916,0.5421026509523914,-0.8972040593624115,0.1324444603135155,2.703577041625977
Li2HgS2,Li2Hg1S2,1.8765878216666676,2.1291349009523826,0.2525470792857152,-1.0084823369979858,0.0453799949186812,1.737663745880127
Li6CaS4,Li6Ca1S4,-0.0,2.1291348971428574,2.1291348971428574,-1.6867436647415162,-0.0194981313324247,3.303799152374268
Li6CdS4,Li6Cd1S4,1.363441251666664,2.129134897142859,0.7656936454761953,-1.384498155117035,0.0080556732920569,2.511504411697388
Li17S6Cl5,Li17S6Cl5,-0.0,2.129134896190477,2.129134896190477,-1.6840818166732787,0.0458011979546975,3.727638006210327
Li2Zn6S,Li2Zn6S1,0.6849905116666664,1.192348916309525,0.5073584046428588,-0.3108875632286071,0.1903617319334299,0.9955965280532836
Li2In6S,Li2In6S1,0.5265272616666645,1.4276477133333394,0.9011204516666748,-0.3157044887542725,0.185544806407765,0.6945496797561646
