id,composition,roost_ensemble_mean
196,Li17P5S6,-0.9935674667358398
197,Li2As1S6,-0.7802382647991181
198,Li3Mg8S5,-1.0014623403549194
199,Li2Ge15S19,-0.6947670221328736
200,Li1S17,-0.174220871925354
201,Li1Hg2S1,-0.2240574538707733
202,Li2S6I1,-0.7661694467067719
203,Li1Si1S2,-1.2416041374206543
204,Li6S1F4,-2.581814503669739
205,Li2Al1S2,-1.4647632956504821
206,Li1C2S5,-0.26166861057281493
207,Sr2Li2S1,-0.8040277361869812
208,Li6B4S1,-0.1984277129173279
209,Li2S15F19,-1.6767472863197326
210,Li2Cd6S1,-0.2637929081916809
211,Li1Te2S5,-0.4019799053668976
212,Li2S2Cl1,-1.0765727281570434
213,Li2Ge6S1,-0.2732620358467102
214,Li6S5,-1.2327797651290893
215,Li6B1S4,-1.3015568137168885
216,Li1Zn2S5,-0.7576394140720367
217,Li17S11,-1.3999692916870117
218,Li6Al4S1,-0.40143861174583434
219,Li6Ga4S1,-0.4995574653148651
220,Li3S5O8,-1.6918795466423036
221,Li17B6S5,-0.3577116966247559
222,Li17As6S5,-0.9611568689346314
223,Li3S5I8,-0.2883098959922791
224,Li2Ga6S1,-0.38473106622695924
225,Li3P8S5,-0.6016370594501496
226,Li1S5I2,-0.5062955737113952
227,Li2B15S19,-0.8056480705738067
228,Li3Zn5S8,-1.0868856191635132
229,Na2Li2S1,-0.6469209671020508
230,Li1S1Cl2,-1.0549137353897096
231,Li1Mg2S5,-0.9571678519248963
232,Ba6Li2S1,-0.31442215442657473
233,Li1S2F1,-1.2458495497703552
234,Li3Ge5S8,-0.9440068423748016
235,Li17Ca5S6,-0.9504455089569092
236,Li3Si5S8,-1.1366466641426087
237,Li17Zn6S5,-0.6023034691810608
238,Na1Li1S2,-0.7143065094947815
239,Li2Si15S19,-0.9106084823608398
240,Na4Li6S1,-0.1939105927944183
241,Li17Ga6S5,-0.7581737637519836
242,Li2In19S15,-0.7255819201469421
243,Sr4Li6S1,-0.38027455806732174
244,Li1Mg5S2,-0.6746410608291626
245,Li2Ge1S2,-1.1590784907341003
246,Li17C6S5,-0.441585773229599
247,Li6S4I1,-1.1946045875549316
248,Li1P1S2,-0.9323366641998291
249,Li2As19S15,-0.416102397441864
250,Li6S1O4,-2.007240879535675
251,Li2S7,-0.687757796049118
252,Li2Sn1S2,-1.1419814348220825
253,Li17Zn5S6,-0.777224349975586
254,Li2Ga19S15,-0.8777250289916992
255,Li2B19S15,-0.686146080493927
256,Li2Ge1S6,-0.8472841262817383
257,Li1Sn1S2,-1.0578563928604126
258,Li2S6F1,-0.8094237446784973
259,Li1S2O1,-1.0806628346443177
260,Na15Li2S19,-0.7726126194000245
261,Li2Ge2S1,-0.6440012753009796
262,Li3S5Cl8,-1.0033084511756898
263,Li1Zn1S2,-1.0765345573425293
